emotion,cleaned_text
joy,id feel assured soothed moment two would pass thoughts would start id look around looking faces told felt pain would see shadows happy shadows didnt know shit pain
love,flashbacks warm nights rolled windows feeling crammed room entirely many lovely people think youre awesome
sad,feel ungrateful saying work theyve done caught bit insular attitude sure conviction right
joy,feel like shows change many countries taken many countries way making decision includes supporting increasing women areas life
joy,feel wonderful book
fear,read sentinel article hanford city councilman dan chins proposed media policy secret committee meetings feelings could summed single word alarmed
suprise,feel like im bit dazed though im still bethany go
anger,originally month guess im feeling grouchy
sad,feel emotional zombies profoundly warped people
sad,really starting feel disheartened sucks refuse get sad really miserable job feel useless
anger,im feeling little bitter sweet
fear,ive pretty excited upbeat new waters hes set frankly im feeling intimidated anxious whole process im splashing around flailing arms air
anger,feel slightly agitated
sad,im feeling tad discontent
suprise,think trying shock feel shocked
anger,feel rebellious way wearing lol
suprise,feel fighter move amazed way tummy growing quickly
fear,think go bed still feeling bit week afraid
sad,feel sad accepted interview education
sad,feel humiliated given much yet feel little
sad,feel like people see past fake facade
joy,thank god name jesus feeling much better yesterday ready emergency room excruciating sinus headache pain
sad,teach properly feed feelings way heartbroken centuries two fingers bowl brownie batter rolling stones steel wheels record player
joy,believe students learn best community learners feel valued respected
fear,feel strangely apprehensive make
sad,feel coming know pain means unpleasant sensation occurring varying degrees severity consequence injury disease emotional disorder
fear,feeling little nervous intimidated came away appreciation great city
joy,feel crap sure eggs head er itll start go theyll look like hypochondriac
sad,see lola much rufus probably feel isolated frustrated sad feeling guilty negotiating role pregnancy might proceed asking six months leave six months job
joy,miss wonderful regulars also really wonderful feel brave big thing think experience running retail store sort like say living nyc make make anywhere
love,feel like loving mind says rest
joy,feel hopeful god understands humankind
sad,feel exhausted dealing political life never passion mine feel room allow people serve senior roles israel barak said
joy,never wear black really makes feel like im part cool club never access
love,picked hand food soap glory ive eye im glad bought leaves hands smelling great feeling lovely
joy,feel like respect say feel like respected
joy,want separated long time enough feel sweet misery missing damn much knowing able see soon enough
joy,simply feel artistic point view work lost ability valuable impact poetic otherwise
joy,feel like many women supporting woman
joy,needed feel inspired get back get going new projects
sad,feel death vain
joy,feel invigorated anxious get year started
sad,like feeling bad makes difficult positive
sad,remember asking give child last night serious feeling embarrassed taken joke
love,guess could something feelings alienation feelings one around understand supportive
anger,need use feel resentful towards
sad,also feel embarrassed angry made mistake like
sad,know though feelings anxiety depression making dumb decision letting fear doubt take life
sad,feel hated feel fake confused lost found hidden dead img src http img
anger,feel fucking pissed brain cant take anger
suprise,paid reduced rate student didnt feel impressed
joy,two active blogs im feeling super im posting berlin urban travelers
joy,feel like really respected process hen life
anger,think curve would nicer two layers feeling rebellious
sad,like feel needy relationships make includes personal relationship god
sad,could feel analysing yet reasons unfortunate enough given thing deal
joy,feel intelligent glasses
joy,attended teacher candidate feel worthwhile experience come away many new ideas lesson plans resources teaching strategies
anger,feel agitated see girl talking someone else laughing
love,feel like need focus cleaning family computer making cds treasured family pictures spend time blogging blog
anger,feel pity theyve hated super junior hell happened ha
anger,ive feeling little rebellious though
sad,want grow happy cheerful home people wont make feel burdened peoples mood swings
joy,dont know even started livejournal feels akward still amused features erf
joy,understand psychological reasons behind arguments feel implications acceptable
anger,left house feeling really jealous discouraged
anger,discovered girlfriend going around another boy
fear,early feeling restless knew wasnt going fall back asleep time soon
joy,feeling relatively positive number reasons
joy,lot different conflicting feelings need get resolved even means im months
anger,feel envious realize complex vision systems marine animals
fear,im miranda keer okayish looking notamutant ive experienced fair share street harassment never feel threatened
love,concerned sex means means touch another person feels admired wanted
fear,feel embarr shy assed switch tv says khatta shy k
love,im saying become arrogant dick anything im saying days many people feel like liked much theyll end losing get nod direction
fear,feel like ive entered weird universe really grateful
sad,hate makes percentage reposts type posts small percentage people saved makes person repost feel somehow inadequate
joy,felt excited feeling ecstatic im really gon na study real time round
anger,feel like theres vicious cycle
sad,im actually pretty determined since havent back years feel neglectful grandmothers aunts uncles cousins extended family
joy,feel like trusting wife ready support husband follow wherever
fear,forgive accepted allowed feel insecure less others form power
sad,feeling troubled
fear,go snowboarding feeling apprehensive
joy,ill sharing recipes recipes others feel free share recipes
fear,im aiming write sure seems unwritten rule live late since im feeling hesitant ever
suprise,feel quite impressed self
sad,feel like finding stupids things bother making unhappy
sad,feel foolish much faith put
fear,guess feelings get confused far illness concerned
sad,feel damaged
anger,feel rude calling picoult write aunty jodi
sad,im feeling homesick tail end longest uninterrupted time away family yet
anger,feel wronged tom said going buy beer chopping block
sad,seen tiny miracles daily would feel ungrateful didnt share learned know true
fear,idea seeing bf feeling intimidated
love,see feel supportive reassuring see something value
joy,feel fine even dont work
joy,prescribe religion words feel fabric gorgeous intricate
joy,im trying hard judge hurts deeply feel like supposed supporting judging going
joy,feel relieved much accomplished yesterday
fear,ive idling away past year realize im feeling doubtful path
sad,ive feeling low due homesickness things really working school
joy,feel respected feeling never
anger,really feel vile today
joy,try better updating often especially since one place feel share openly feelings thoughts living life precious cam
anger,really feel like stubborn altogether giving toss asking help time comes ill blow away teach lesson shell probably know im
fear,feel totally overwhelmed dread monday luuk goes back work two kids day long
sad,feel coming back foucault barthes derrida lacan point books loom shelf levi strauss may missed least next years
anger,im feeling significantly less stressed since im hosting year secretly love chaos comes thanksgiving hostess
sad,know part reason im feeling way throws renovations things messy
fear,feel anxious scared
fear,feel frantic disorganized
joy,writing feeling giggly
suprise,like things leave others feeling surprised delighted
sad,im feeling sentimental moment looking forward trip home land mixed weather
suprise,feel impressed share excerpt one year devotional wife brenda wrote years ago called grace grief
joy,ive also enjoyed following bloggers finding lives interests feel passionate dislike
joy,feel rich think counts
joy,shut door feel triumphant
anger,im still feeling pretty cranky dramatic today get slow hearse
sad,lie voice push dominant feelings repressed
joy,want walk bedroom feel peaceful
anger,keep talking people period time bitter sweet morning feels bitter
fear,feel distraught dont clue
anger,feeling frustrated trying housework brygit demanded carried around liam demanded play
love,already know one truly feel tender heart feeling right
anger,feel dangerous put certain thought process dont want end resurfacing past emotions arent happy
sad,feeling disillusioned whole hospital system
fear,feel assaulted
joy,felt like circumstances around overwhelming pushed past feeling turmoil emotions could sense within strong place
love,feel day day living fond notion adult
anger,feel cold breath
joy,feel cant deny peter tells us christians peter divine power given us everything need life godliness knowledge called us glory goodness
joy,started feeling festive little early year
joy,swear even could feel adrenaline fucking injected rushing gorgeous body helped made struggle
joy,feel time patients vital part ministry desire share story
sad,feel emotionally drained feel like gutted
joy,know true success according gore vidal others means triumph friends fail help feeling little bit pleased see canadian author john mcfetridge cover quill quire
sad,feeling little less unimportant reclusive week good time ever step comfort zone go tonight
fear,realized longer fear feel less vulnerable defenseless
joy,leave god whatever transpires feel sure shall enjoy adventures
joy,feel virtuous constructive day
joy,feel like im less innocent people world
sad,pumped liters fluids ez given pitocin afterwards feeling like broke pelvis time forceps anyone
love,feel hot sperm inside gratifying lost energy fell back onto bed behind
joy,feel background would prove valuable recruitment process wake call staffing many ways
sad,feel ignored betrayed trust worthy
joy,want feel playful open vulnerable great time
love,feel police people considerate situation
fear,get feeling may may bit skeptical entire thing
sad,feel lost
joy,feel really surprise delicious one
fear,feel uncertain dont proper care make go provided best manufacturer prepared splurge
sad,ive spoken selectors feel unfortunate im getting negative feedback lara said second test ended draw wednesday
sad,feel god burdened hearts see others similar revelation
sad,feel rather ashamed never choosing noodles rice anyway
joy,record feel gorgeous
fear,feel confused frustrated spend time
joy,really glad went though since feeling much appreciative overcast skies first got bed
sad,feel regretful working differences
anger,feeling frustrated case test nice vents someone discover someone felt alone
fear,think shell happy enough ducats said manfred calmly ease didnt feel moonlight erik looked doubtful
love,strong feeling cd still many us bring fond memories
sad,im still feeling fucking dissed moment credo followed apology agonized followed jack shit
joy,feel generous decided give everyone everything need
joy,feel blessed know family
joy,arrived pants drenched knees freshly polished boots making squishing water noises left trail waterdrops way third floor still trying feel festive proud finally receive paper seven years
fear,started feeling weird vibe
sad,total dry shampoo convert absolutely hate feeling dirty hair trying wash hair less much better hair dry shampoo total life saver
anger,added quote ironically came mind feeling little bitter something came across today triggered raw leftover emotions regarding love affair long past
joy,feel many people fantastic job area already people admire
sad,feel rather moronic blogging art ventures really wants hear novice stuff anyways
joy,held sights last lap whether target aim finally thawing last started feel like properly running caught passed friendly encouragement half way round
suprise,feeling amazing post marathon blues lots motivation running
joy,feel like im really cool enough wear somewhat school girl like dressing sense rectangular glasses feel bit place
joy,embark little self improvement drive going start feeling superior
fear,feel strange smooth keyboard beneath fingertips spelling word try explain empty hard cold feeling
suprise,remember feeling shocked overwhelmed
anger,said b becoz mom also factors makes mi feel agitated paranoid upset easily
joy,feel say something intelligent meaningful yeah well style
love,feel really priveleged picture pookie admired many people visit site every day
anger,get feeling dont want see something else one dont know bothered anymore
anger,feel really must say bitter words matter
joy,feel respected feel like patient
joy,hope enjoy following feel free submit comments
sad,think past feel regretful
anger,never even ba man real treat buddy feeling envious getting something
sad,wasnt even going stupid show hate show hate watch show feel dumb even writing
anger,tried yoga past remember feeling mentally tortured bored could wait class yet time seemed going backwards
anger,im beginning feel like mad scientist
sad,feel numb head
anger,im happy report didnt feel angered urge smack olivia today way ive felt
love,feel faithful isnt enough eyes
sad,feel horrible stop take time say something awesome dont always time reciprocate commenting blog even though almost always stop
sad,im surprisingly feeling low lonely
love,im best reader chick lit found feeling really sympathetic main character mikalya rivers
sad,turned around morning th morning row running work could start feel muscles bones aching bit legs rather idle lately made nonetheless
joy,think would encounter feeling passionate reader
joy,feel intelligent move liked yoda reference one recent ri emails
fear,know well feel less threatened many major western cities
anger,left feeling tad jealous
love,feel demotivated really caring enthusastic new job opportunity noone share
sad,feel defeated sometimes body mind refuses cooperate
sad,recently stopped talking guy verbally abusive would say things bring time make feel worthless say wasnt good enough
sad,feeling rejected family
sad,tell deadpan grunt jargon mean nothin feel nothing except dull thud vietnam head hang phone forever
sad,ive feeling sentimental almost weepily word
joy,feel honored able meet
joy,going feel like completely faithful religion
anger,neighbours accused brother stealing rosebush
anger,indecisive want lunch feeling slightly agitated constant aching ribs tiny little feet feel permanently planted able understand weeks seem go sooooo slowly
love,always feel like cant faithful oipppertunity comes youd take
joy,want forget feels precious reason
fear,feel vulnerable end feeling connected people
joy,several audition appointments coming able sleep normally feeling creative productive
sad,position locker rooms team meetings bus rides plane feel miserable feel like let whole state let coaches teammates
joy,intentional say think throughout day might actually feel successful better spent time end day
anger,im spending hours pouring happiness well blog posts sometimes feels selfish blogging
sad,feel lost stressed little wil
joy,feel like good friend narcissism might something well spoonful boredom
joy,feel lighter stronger graceful
fear,feel afraid uncertainty
sad,feeling stressed tense running around like blue arsed fly ive taking minute breathe big deep breaths far lungs go
love,know feeling nostalgic time ten years mind lately good way
sad,feel burdened slightest touch body even still lingers upon skin
sad,feel kids need punished actions
sad,understand always feel measure feel rejected inside
sad,havent made god part life recently slip left feeling little unhappy think
joy,feel confident know never record mix long solely trap
joy,usually sponsored posts occasionally someone contacts request feel like benefit readers includes cool perk fits well themes around note babygap even kidding twins
love,feel loving right loving til hurts point return
anger,feel blackburn stubborn team blackpool holloway want positive reaction game even get result
anger,help feel bit resentful feel like fighting unfair fight
joy,even got little fortification helpful gal feeling invigorated
fear,pregnant im feeling shy telling general population
fear,told last night drove er feeling frantic slightly hysterical wanted pick leave
sad,guess ill end ive feeling absolutely useles listless past week really need pick
anger,feeling grumpy yesterday morning
sad,really feel disappointed chawanmushi cost rm think get delicious chawanmushi price
sad,feel broke soon
sad,im one feeling isolated
anger,feel like im impatient
sad,feel disturbed film shows easy slip quite normal completely utterly barking mad
sad,feel like conference truly meant someone unhappy current career needed help figuring transition meaningful creative career
fear,dont know feel shaken crushed news
sad,guess reason really feel shitty dont really anyone talk
sad,also feeling missy joonbugs mom abused former owner whenever try pet boop nose poor thing cowers like shes terrified hit
love,feel hot know everybody thinks meant temper becomes hot
love,guess havent found group makes feel accepted yet
sad,restaurant ordered vegetarian sushi feel like deprived
joy,speak group people feel like really something worthwhile
sad,feel sad isnt reciprocated long distance family fact deliberately forgotten
joy,feel important everybody know
anger,feel need tear shreds mad
sad,convince still feel worthless
sad,used get really bored interested kuantan alternately days nothing makes much different cos im feeling dull entire thing
joy,still want look feel festive ready start feeling pretty
sad,feeling little troubled lovely people accompanied weeks make feel blessed troubled free
joy,really hate feelings glad eating
joy,definitely feel get title supporting picture
joy,feel peaceful happy
anger,feel fucking pissed trusted someone turned around amp took baggage amp damnedest manipulate letting hook
suprise,ate mammy fried pancake breakfast chinen yuuri duet may feel curious
joy,thought id feel relieved house cleared
joy,hope beautiful amazing day feeling radiant love light surrounding lt
fear,must admit feeling apprehensive visit rockpool
sad,woke morning feeling defeated hung
sad,know say asides feeling really crappy physically sick
joy,feeling fantastic
joy,feel like sex machine class delicious title share del
anger,feeling agitated amp keyed days increased amp increased
suprise,remember feeling shocked people started ask food weight loss advice never million years expected pushing others run helping train
anger,ill share feel rude people bus time
sad,im feeling pretty beaten moment im struggling inspiration
sad,feel lame dont really best friend
joy,still list maybe maybe one day might feel brave enough get crack
suprise,feel like im giving story tell friends family funny growing anticipated one travel spontaneously meet erratic person swoons life stories
anger,gras activities look facebook friends pictures much fun theyre feel slightly jealous fun mostly relieved im spending money navigating crowds
love,certainly understand country tag understand feeling naughty
joy,feel like production audrey seymour relationship playful costumes lot trashier changed things hellip far move around
joy,feel like weekend chance get creative projects take break email chill
fear,hate sometimes dont time feel timid anything
fear,rarely toss book dnf finish category found losing interest within first hundred pages feeling tortured
joy,feel privileged near life
love,feel blessed american freedom disagree said express opinions
joy,im certain romantic hero im feeling creative cutting edge
love,always misjudge peoples feelings another fight mom says compassionate enough towards family kian careless free spirited
love,feeling compassionate trying write discussion chapter keep running well could compare data except
joy,want feel completely free
fear,finally get lose shit job shelby said tartly still feeling slightly threatened advent gwendolyn
sad,im greatly interested make feel disturbed uneasy make think happens next tomorrow
sad,pursue feelings discontent knew practical live
joy,write three main categories see top page please feel free browse
anger,feel fucking infuriated seeing ecstatic seeing unmatched feelings
joy,feel blessed able visit lovely place
sad,feel jaded landscapes light effects tackle figures vice versa
joy,feel would terrific candidate president really disappointed last time couple days made donation mr
anger,feel impatient
anger,feel petty manly
joy,feel well
fear,replied yes master kept collar tight continued thrusting painful really feeling like tortured holding orgasm tight every thrust agony
sad,training son opposite undo lot work feel helpless house
sad,feel like main reason left homesick
love,feel delicate little flowers attempting sell concept action stars
love,feeling nostalgic week raided vaults hope enjoy
joy,think advisable feeling really worth convinced need occur cost within enjoyment
fear,said mom made feel vulnerable ever felt
love,longer feel love presence tender loving hugs kisses
joy,feel sincere
joy,left gym feeling invigorated
sad,feel like fault although know another casualty illness rotten physical circumstances fallen
fear,start feel helpless power evil see hear smell touch seemingly everywhere go
anger,suppose song isnt bad horrible feeling awhile im going get irritated whenever comes ipod
fear,feel anya becoming restless
sad,love pop culture feel isolated knowing duck dynasty means
joy,feel lucky
joy,ive disregarded devalued heartbroken boyfriends need someone make feel valued attractive loved adored certain men call
joy,idea going feel one moment next week week pretty
sad,earthman feel ashamed demeaned dirtied
love,feeling deeply affectionate appreciative little bible study group im part
joy,given several colleagues asked free lance advice nudge ask feel would make job worthwhile tell
joy,want lady feel welcomed comfortable talk
anger,feel violent something today
love,feel like beloved newcastle united end season finished nd premier league oh close winning premier league title
joy,care scars know kills think feeling less handsome
joy,ive feeling divine miss late
sad,feel burdened guilty ugly going times difficult time getting back focusing
fear,think worthless therefore feel insecure
fear,feel confused
fear,room strangers lunchtime feels really weird walk say lets go get lunch
suprise,cut social media weeks feels strange actually
love,feel horny seduce busty chick try dick awesome href http www
joy,im literal person even im feeling creative
sad,suddenly feel need morose faux vintage pre rock
fear,going feel insecure self conscious eczema dread feeling good go celebrate really wishing eczema would go
fear,put house case feeling intimidated although tethered feet away shes never ever intimidated even second
love,feeling tad tender
joy,strong drive exercise feel vital part
sad,admit likely feel strongly hear tragic stories daily basis
love,feeling awfully romantic thought would look back couples inspired new old pay tribute love still moves believe find
sad,woke morning definitely monday feeling groggy grumpy totally unmotivated still put shred
anger,feel aggravated exasperated exhausted dumbfounded flat pissed
joy,make project join feel useful
joy,one step closer healing feeling sincere happiness
sad,really felt went away feeling terrible fans
love,im lucky year old girl loves life feel blessed everything
fear,feel shaky light headed around five pm realizing wait minute literally single thing eat yet today besides ellie janes animal cracker im going die instant call
sad,already know people died spiral staircase people killed basement feeling unpleasant twist stomach get whenever place people died horribly
love,feeling loved exceptionally lucky understatement moment
sad,feel sorta sad young younger children seems young
sad,find pushing away moments feel sad
joy,love job nice feel productive intellectual sense
sad,certainly understand world live wants feel gloomy alone beneath mistletoe likely part contribute excessive consumption orgy christmas become
sad,want happy baby back feel terrible
sad,feel like recently ive thinking things way much letting things get normally dont feel lot emotional little softer used apart thats ive really noticed
sad,would feel like useless ass cycle would start
suprise,feel surprised feel angry
joy,jump taxi find feeling strangely contented despite everything
sad,sympathize local craftspeople feel unwelcome distinct type crafts imported events
joy,feel blessed amazing close family know love matter
love,feel passionate students choice reading job encourage love reading
love,feel adventure helped become much compassionate grounded sure also become centered around self care self love
joy,feel carefree heh okay yup
joy,get ate wanted good sensation eating provided full feeling delicious soporific effect luscious hazy dreamy state ice cream gave going put torture
sad,might look back might weird stage going even though im thinking differently doesnt seem fake legitimatly feel way matter unsavory see becoming
joy,feel smart money pain
love,feel like slutty root problems want sex someone cares
sad,spent time feeling unloved unaccepted
sad,feel isolated misunderstood
suprise,really wan na good one fun want friends feel weird awkward
joy,feeling fabulous knew getting close big descent soon would downhill
anger,started essays weeks deadline unfortunately kind writer write feeling hits diva esque inspiration rushed essays
anger,feel disgusted time next moment feel terribly upset
joy,really started feel ica association worth supporting maybe something id enjoy part
joy,feel like lot artistic potential never really able fulfill
sad,dont love love joel actually able motherly feelings missed
love,somewhat newlyweds married almost years sure long newlywed title moved first home feel like im still decorating making im loving every minute
joy,humbled requests write extremely personal intimate subject matter feel letter useful think champion cause
joy,write strikes fancy feel free e mail emberphoto hotmail
sad,think feel unimportant people talk people seems little say interesting
joy,recognized work ground getting never try manipulate feeling like determined make feeling certain sincerity
joy,feel commonly accepted expectations society
sad,dont sink major depression days grow shorter winter settles tend feel little melancholy time leaves fall trees baseball ends oh macys thanksgiving parade
joy,feel excited program shell
sad,feel homesick best place
joy,love beaches love sound waves witnessing waves hitting shore sent back taste air feeling strong wind smell sea
joy,thankful able feel thankful getting hardship
anger,feel fucked woods
sad,feel emotionally abused
sad,im terrified feel regretful actions
joy,feel glad part journey
fear,gone hospital research got late reaching home feared reached home would quarrel late
fear,spent whole night feeling scared despite talking one really good friends could little assure done best could telling youre twenty youre equipped deal things like yet
love,always use shower gel body butter together feel fragrance even though lovely short lived
fear,feel bit insecure look cleanly shaved hair clearly styled coat seems bit much female fit seems comfortable shoes catches fact
fear,feel weird asking friendship doesnt feel ready
anger,remembered reading somewhere many times feeling grumpy impatient workout sugar deficient
joy,im feeling clever think ive worked derivatives work
sad,im feeling pretty melancholy dont know
joy,feel blessed living normal life
fear,work feel anxious
joy,feel like jackass always kind criticsm rather something smart say
anger,feel deserve rather irrascible stubborn sort person basic make sort cloth saints generally cut
sad,person liked left friend mine
sad,actually feel touch homesick seeing scenery
anger,also feel selfish bringing children world truly believe headed straight hell
fear,im really struggling part dont like voice im trouble character feel incredibly insecure
fear,im aside feels strange idle
fear,really want challenge fun way everyone knock games backlogs without feeling pressured reach certain goals
fear,want start painting walls house feel scared choosing terrible color
joy,shout scream save family pain getting lol well try save family got tips ideas want moan feel free join class profile link href http www
fear,inquiry makes us sometimes feel threatened another perspective
sad,feel bit groggy really energetic side effects pretty pleased results far
sad,think ex made feel unimportant thought important suspect behaviour came across like important partly know deal want deal
joy,feel radiant life feels effective
sad,feel like awkward outsider start feel homesick
joy,search internet email many artists feel talented suited story email previous artists worked past see possibly interested
joy,started feeling hope didnt want overly positive
joy,feel popular bible verses
fear,stopped whole thing feeling shaky
joy,spotted gym folk battering weights feel like theyre going throw tell everyone ok simply pushing maximum
anger,ever seen smiled goofily back feeling blood rushed cheeks embarrassment wave naughty excitement washed made heart beat fast hard could feel every beat resonate lower body
anger,know effects day day happenings serenity subtle times end feeling irritable discontent without knowing
fear,feel like marilyn monroe im insecure yeah make mistakes sometimes feel like im end road get low get low dont know way yeah get high get high like could never come call curse
sad,feel every inch body aching right right moment
fear,feel little uptight really conscious careful everything happens
love,able pick airport day nice feel romantic catch taxi
joy,feel contented
anger,feel like receiving end violent attack
sad,always feel humiliated
fear,feel afraid made feel different unwelcome
sad,feeling bit homesick melancholy
fear,im busy feeling shaken unfortunate incident neighbors last night involving lots drunken screaming nonstop crying belligerence ingratitude went downstairs make sure everything ok
joy,know tasks feel vital important
anger,wake every morning step foot onto soil country whose people conditioned hate wherever go feel eyes find vile ignorant filthy disgusting
joy,live breathe feel understand beloved even question hundred different things
fear,feel much alarmed prospect seeing general jackson president
sad,feeling little sentimental today
sad,feel everytime someone gets disappointed gets annoyed done something necessarily agree end mentally promising different next time even though different
sad,learned start saying without feeling vain selfish
anger,im sure person complex set reasons leaving chalking one reason feeling like hated academia probably little simple
sad,beginning feel lethargic blood loss
sad,still makes feel less pathetic
fear,feel vulnerable exposed learnt strength vulnerability
love,often told alright tell kids tired worn need feel like every night needs devoted understand
joy,started business officially feels wonderful
joy,hug niece scared make feel safe
joy,feeling arungal administration wont keen witnesses days events
joy,train hard feel valuable
sad,going pain losing precious poison also experiencing completely new feeling hated large number british public
anger,able function feel agitated hours
anger,feeling really rebellious day ripped remove tag new pillow
sad,feeling abuse somewhat meant abused
fear,feeling kinds paranoid probably tend go hypoglycemic eat several times per day
sad,makes feel numb
sad,im always feeling hurt amp betrayed love ones
joy,feel passionate birthing options upset way treated daughter surprise month old daughter arent picketing office every day
anger,know parents siblings feeling uncle come house everytime cos makes feel irritated times always drunken state
love,feel moment longing proclaim god done wanting tell everyone done mighty things come proclaim mighty acts sovereign lord proclaim righteous deeds alone
fear,xi returns keep show temple want feel feel suspicious
anger,start feel little dissatisfied
joy,read stuff make energetic decided take one capsule day see makes feel far feel energetic since
sad,feel like punished hurting hurting try stay afloat theres use use use boats left leaving water freezing im numb im blue im helpless
sad,ive also bit sorts last weeks feeling unhappy professional life isnt really going anywhere yet unable anything needs family restrict ability look paid work freelancing
fear,im feeling highly paranoid
anger,think way feel frustrated
joy,feeling ran doa thats reason jolly time ragging liebchen
fear,feel assaulted step building air outside wraps around like wet rag
sad,went period initial shock period quite understanding admitting situation moments even forgot short time physically started feel miserable
anger,usually go sometimes b fun im feeling rebellious
joy,feel decision wait little longer smart one
love,feel like talk xavier much really like program year year really really like tu holloway although liked better went terrell
sad,im one feels embarrassed
joy,feel valuable way everyone share important
sad,fighting might feel defeated sinus allergy situation
suprise,feel vy dazed
sad,stood horror feeling totally alone defenseless
joy,im feeling kind optimistic seeing marked
joy,im glad darling cares feelings care im glad communicate understand well
suprise,feel shocked right problem mine problem find living life cant leave behind
anger,tv features showing violation defenceless people
sad,feeling miserable often prepare dinners feel guilty
joy,need feel blog productive enough
anger,things making feel stressed
joy,feel makes look flawless
sad,really feel benefit unsuccessful
joy,decided genetic modification probably wrong feel would completely acceptable someone genetically modified turkeys body cavities bigger allow stuffing shoved inside
love,beginning feel lovely accept feel enough matter done going around
love,feel passionate leader retreat
sad,feel unloved stupid meh sometimes
joy,feel thrilled filled sensation
sad,realized even control thoughts feelings knew emotionally abused must get
sad,feel stupid sometimes ridiculous people take cake
fear,assumed always somehow would work failed first days classes german seemed reach remember feeling scared
fear,ive struggled guilt feel going makes reluctant go
fear,beach thought busy beach picking litter amongst groups people started make feel bit apprehensive almost changed mind
sad,im glad longer feel doomed single old lady
joy,got ta tell feels terrific
sad,ask read blog continue sign guest book whatever think cheer definitely feeling little defeated
joy,feel graceful thinking unthinkable
sad,usually feel dirty traveling im back home time felt dirty city
joy,feel reverence god vital healthy walk
anger,young
sad,feeling gloomy stressed
fear,feel helpless w polishes lol
joy,feel like dj game respected way years ago everybody dj everybody wants dj think dj play song lot dj motivate crowd know song play certain times
sad,know feels live america feel politically ignored glad feel way anymore
fear,feeling weird feel wan na know
sad,feel like student punished improving
sad,feeling sad trapped apartment didnt really feel safe going night without reliable way home got stage realised one could help god would think would figured faster weeks turns little slow
sad,say never want feel idiotic anguish
joy,tried usually followed week maybe two feeling especially determined eventually fit right shifted back normal routine simply running
love,find whinging temperature every day moment feel ridiculously hot
sad,im still feeling pretty shitty week hence mostly eating produce many things much
joy,im human itll make feel cool point typos errors ive doubt made writing blog knock
joy,feel oh glamorous looking super fabulous sometimes im insecure something cant ignore flashing cameras try best handle im girl next door hear rumors take
joy,feel kind clubs accepted many people
fear,know ill never sad never hurt never want never feel stress pressured fear
anger,think sitting bit made feel cold
love,feeling particularly fond going awesome dinner italian course
sad,im pretty sure make feel awful couldnt make feel better okay really feeling
joy,trust longer saying beautiful obviously needs look another naked women feel good
fear,feel always frantic gets close
sad,guess comes feeling little end worthless days
sad,im focusing levels year im feeling rather depressed fact im idiot haha
sad,feeling room college pretty messy first settle
sad,anything feeling utterly amp completely worthless next
fear,made way front stage feeling little bashful
joy,feeling thankful today
sad,feel dirty sheer possibility orally pronouncing wishes universe hear
joy,feel clever yesterday hangover size planet eat rather nice sunday roast went
sad,never felt valued man went away feeling discouraged condemned
joy,lucky fortunate feel really appreciative right
joy,used white runner center table give table clean pristine feel gorgeous light fixture details hanging crystal
fear,still found self feeling restless inside
anger,feel irritated feeling challenged p since im done weird fact plan shall post another fact share
anger,feel like fucked head beyond help
joy,sa neid letad feel proud staying last couple years
love,feel like must share air smokers must considerate smoke desolate places closest non smokers around least mile way
sad,feel lost ever
joy,feeling going fabulous concert year
sad,id friend hometown stay weekend left couldnt face going studio couldnt see point painting feeling homesick sorry
sad,feel lame know lot professional im looking href http brissalaura
joy,im starting feel among friends beloved ones philcon report post
joy,feel especially lucky creative opportunities given past year wonderful support friends peers family delight design readers pursued opportunities particularly launch href http blairfriedeman
suprise,real experience yet feels strange
joy,try let go feelings already deeper sure exactly
joy,dislike feels like things say around successful
love,feeling little snacky today kind craving something sweet
joy,feel blessed
joy,ive seen older movies may imagining feels lot family friendly others
joy,watch feel like need junky watch makes feel like perfect everything together loved feel free
sad,already feel shitty feeling u get u cant solve single qns math paper
fear,need feel cause everyday fall harder afraid might get hurt back really hurts love
anger,feel like greedy year
love,feel something go always liked phrase kings thieves quite bit
joy,feel un welcomed
joy,sisters fantastic first series christmas shows left feeling festive
anger,feel outraged people justify saying discipline need hit kids
sad,feel little bit helpless
anger,feel wronged way
fear,able settle feel less uptight
fear,experiences ever want see talk person said inappropriate things simply feel utterly uncomfortable presence
joy,laugh quite bit feel ok deciding let get sort shit
joy,feel pistol relieved feeling prepared ready altercations may arise
joy,ive working resume portfolio pretty intensely couple weeks im finally feeling like acceptable
joy,feel blessed god given wisdom train help part household
sad,apologize youre still reading youre practically saint eyes thought might someone feeling little depressed summer sure
sad,must getting sappier old age radiolab podcasts regularly leave feeling weepy
anger,didnt feel rushed one moment alternately scenes occurrences couldve happened lengthier time
sad,feel foolish used
love,could feel gentle breeze window although suspected sun would make appearance sometime day clouds still keeping bed
sad,im typing post im becoming excited changes instead dreading feeling gloomy earlier
sad,feeling disheartened sad state life wonder lot time better mackenzie amp left went instead
joy,feeling going long process excited see kinds results get
sad,run every day get new papers get back home feel depressed dont want talk george friends family making feel much worse
fear,feel share people stagnated fact gone backwards feel like people reluctant chide come far
fear,feel suspicious
fear,continue succeed something someone seems unattainable feel men intimidated prolonged moment silence
joy,feeling bit brave think another cut happening soon
joy,pointed feeling clever
fear,feel unsure proper write proper leave
joy,hate acoustic guitar boys yet love moment film feels innocent real
love,spent majority life trying change look order feel accepted others feel loved feel better people around mind physicality thing offer
